model,condition,trial_id,branch,auto_category,looks_stale,render_path,human_label,seed
gemini-2.5-flash,C1,t0002,V1_C1,NO_TOOL,1,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0002.md,,7
gemini-2.5-flash,C1,t0002,V2_C1,NO_TOOL,1,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0002.md,,7
gemini-2.5-flash,C1,t0001,V1_C1,NO_TOOL,1,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0001.md,,7
gemini-2.5-flash,C1,t0001,V2_C1,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0001.md,,7
gemini-2.5-flash,C1,t0005,V1_C1,RETRIED_FAILED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0005.md,,7
gemini-2.5-flash,C1,t0005,V2_C1,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0005.retry1.md,,7
gemini-2.5-flash,C2,t0005,V1_C2,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0005.md,,7
gemini-2.5-flash,C2,t0005,V2_C2,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0005.md,,7
gemini-2.5-flash,C2,t0001,V1_C2,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0001.md,,7
gemini-2.5-flash,C2,t0001,V2_C2,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0001.md,,7
gemini-2.5-flash,C2,t0002,V1_C2,OTHER_TOOL_ONLY,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0002.md,,7
gemini-2.5-flash,C3,t0002,V2_C3,RETRIED_FAILED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0002.md,,7
gemini-2.5-flash,C3,t0005,V2_C3,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0005.md,,7
gemini-2.5-flash,C3,t0002,V1_C3,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0002.md,,7
gemini-2.5-flash,C3,t0001,V1_C3,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0001.md,,7
gemini-2.5-flash,C3,t0001,V2_C3,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0001.md,,7
gemini-2.5-flash,C4,t0001,V1_C4,NO_TOOL,1,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0001.md,,7
gemini-2.5-flash,C4,t0002,V2_C4,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0002.md,,7
gemini-2.5-flash,C4,t0005,V1_C4,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0005.md,,7
gemini-2.5-flash,C4,t0005,V2_C4,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0005.md,,7
gemini-2.5-flash,C4,t0002,V1_C4,RETRIED_NOT_REPORTED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0002.md,,7
gemini-2.5-flash,C4,t0001,V2_C4,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0001.md,,7
gemini-2.5-flash,C5,t0005,V2_C5,NO_TOOL,1,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0005.md,,7
gemini-2.5-flash,C5,t0002,V1_C5,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0002.md,,7
gemini-2.5-flash,C5,t0005,V1_C5,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0005.md,,7
gemini-2.5-flash,C5,t0001,V1_C5,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0001.md,,7
gemini-2.5-flash,C5,t0002,V2_C5,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0002.md,,7
gemini-2.5-flash,C5,t0001,V2_C5,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0001.md,,7
claude-haiku-4-5,C1,t0006,V2_C1,NO_TOOL,1,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0006.md,,7
claude-haiku-4-5,C1,t0006,V1_C1,NO_TOOL,1,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0006.md,,7
claude-haiku-4-5,C2,t0006,V2_C2,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0006.md,,7
claude-haiku-4-5,C2,t0006,V1_C2,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0006.md,,7
claude-haiku-4-5,C3,t0006,V1_C3,NO_TOOL,1,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0006.md,,7
claude-haiku-4-5,C3,t0006,V2_C3,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0006.md,,7
claude-haiku-4-5,C4,t0006,V1_C4,NO_TOOL,1,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0006.md,,7
claude-haiku-4-5,C4,t0006,V2_C4,OTHER_TOOL_ONLY,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0006.md,,7
claude-haiku-4-5,C5,t0006,V2_C5,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0006.md,,7
claude-haiku-4-5,C5,t0006,V1_C5,RECOVERED,,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/results/synthetic/renders/t0006.md,,7
